SNo	Rank	Allotted Quota	Allotted Institute	City	Course	Allotted Category	Candidate Category	Remarks
2274	2883	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.S. (OPHTHALMOLOGY)	GN	GNNO	Allotted
2275	2884	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (ANAESTHESIOLOGY)	GN	OBC	Allotted
2276	2886	AIQ	Rangaraya Medical College	Kakinada 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2277	2887	AIQ	Mahatma Gandhi Medical College	Indore 	M.S. (OPHTHALMOLOGY)	GN	GNNO	Allotted
2278	2888	AIQ	Dr. Sampurnanand Medical College	Jodhpur 	M.D. (PAEDIATRICS)	GN	OBC	Allotted
2279	2889	AIQ	Government Medical College	Surat 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2280	2891	AIQ	Jhalawar Medical College	Jhalawar 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2281	2892	AIQ	Sawai ManSingh Medical College	Jaipur 	M.S. (ORTHOPAEDICS)	GN	OBC	Allotted
2282	2893	AIQ	MIDNAPORE MEDICAL COLLEGE	MIDNAPUR 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2283	2895	AIQ	Government Medical College	Nagpur 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	EWNO	Allotted
2284	2896	AIQ	Government Medical College	Surat 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2285	2897	AIQ	Dr. R.P.G. Medical College	Tanda 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2286	2898	AIQ	Government Medical College	Thiruvananthapuram 	M.S. (OPHTHALMOLOGY)	GN	GNNO	Allotted
2287	2899	AIQ	Shrirama Chandra Bhanja Medical College	Cuttack 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2288	2900	AIQ	Osmania Medical College	Koti 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2289	2902	AIQ	Bangalore Medical College	Bangalore 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2290	2904	AIQ	Shyam Shah Medical College	Rewa 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
2291	2905	AIQ	Dr. R.P.G. Medical College	Tanda 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
2292	2910	AIQ	Government Medical College	Aurangabad 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2293	2911	AIQ	LADY HARDINGE MEDICAL COLL.	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	ST	ST	Allotted
2294	2912	AIQ	P.D.U. Govt. Medical College	Rajkot 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	EWNO	Allotted
2295	2913	AIQ	Government Medical College	Aurangabad 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2296	2914	AIQ	Indra Gandhi Medical College	Shimla 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2297	2915	AIQ	Baba Raghav Das Medical College	GORAKHPUR 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2298	2916	AIQ	COIMBATORE Medical College	COIMBATORE 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2299	2918	AIQ	MADURAI MEDICAL COLLEGE	MADURAI 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2300	2919	AIQ	Sawai ManSingh Medical College	Jaipur 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2301	2921	AIQ	Government Medical College	Patiala 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2302	2922	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2303	2923	AIQ	Osmania Medical College	Koti 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2304	2924	AIQ	P.D.U. Govt. Medical College	Rajkot 	DIPLOMA IN CHILD HEALTH/ PAEDIATRICS	GN	EWNO	Allotted
2305	2925	AIQ	VEER SURENDRA SAI MEDICAL COLLEGE	BURLA 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2306	2926	AIQ	Tata Memorial Centre	Mumbai 	M.D. (Radiotherapy/Radio Oncology)	GN	OBC	Allotted
2307	2928	AIQ	Osmania Medical College	Koti 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2308	2930	AMU	JWAHAR LAL NEHRU M.C. AMU	ALIGARH 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2309	2931	AIQ	Government Medical College	Baroda 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2310	2932	AIQ	Osmania Medical College	Koti 	M.S. (ORTHOPAEDICS)	GN	EWNO	Allotted
2311	2933	AIQ	Government Medical College	Thiruvananthapuram 	M.S. (OPHTHALMOLOGY)	GN	OBC	Allotted
2312	2935	DU	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (RADIO- DIAGNOSIS)	OBC	OBC	Allotted
2313	2936	AIQ	JWAHAR LAL NEHRU MEDICAL COLLEGE	ALIGARH 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2314	2937	AIQ	Patna Medical College	Patna 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2315	2938	AIQ	Dr. R.P.G. Medical College	Tanda 	M.D. (GENERAL MEDICINE)	GN	EWNO	Allotted
2316	2940	AIQ	B.J. Medical College	Ahmedabad 	M.S. (OPHTHALMOLOGY)	GN	GNNO	Allotted
2317	2941	AIQ	Mysore Medical College and Research Institute	Mysore 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2318	2943	AIQ	Osmania Medical College	Koti 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2319	2944	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.S. (E.N.T.)	GN	GNNO	Allotted
2320	2947	AIQ	R.G. KAR MEDICAL COLLEGE	KOLKATA 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2321	2948	AIQ	Government Medical College	Surat 	M.S. (GENERAL SURGERY)	GN	EWNO	Allotted
2322	2949	AIQ	STANLEY MEDICAL COLLEGE	CHENNAI 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2323	2950	AIQ	STANLEY MEDICAL COLLEGE	CHENNAI 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2324	2951	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (PSYCHIATRY)	GN	OBC	Allotted
2325	2953	AIQ	Sawai ManSingh Medical College	Jaipur 	M.D. (Tuberculosis & Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine)	GN	GNNO	Allotted
2326	2955	AIQ	Gandhi Medical College	Bhopal 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2327	2957	AIQ	MAHARANI LAXMI BAI Medical College	JHANSI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2328	2958	AIQ	Jhalawar Medical College	Jhalawar 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
2329	2959	AIQ	Bangalore Medical College	Bangalore 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2330	2960	AIQ	Government Medical College	Nagpur 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2331	2961	MNG	Kasturba Medical College	Manipal Univ. Manipal	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2332	2962	AIQ	Government Medical College	Kottayam 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2333	2963	AIQ	Osmania Medical College	Koti 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2334	2964	AIQ	Shyam Shah Medical College	Rewa 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
2335	2965	AIQ	V.M.M.C. and S.J. HOSPITAL	New DELHI 	M.D. Sports Medicine	GN	GNNO	Allotted
2336	2967	AIQ	Govt. Medical College and Hospital	Chandigarh 	M.D. (PSYCHIATRY)	GN	GNNO	Allotted
2337	2971	AIQ	Osmania Medical College	Koti 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2338	2973	AIQ	Sawai ManSingh Medical College	Jaipur 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2339	2976	AIQ	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.S. (E.N.T.)	GN	GNNO	Allotted
2340	2978	AIQ	MADURAI MEDICAL COLLEGE	MADURAI 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2341	2979	AIQ	Jawaharlal Nehru Institute of Medical Sciences	Imphal 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2342	2980	AIQ	Kakatiya Medical College	Warangal 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2343	2982	AIQ	Mysore Medical College and Research Institute	Mysore 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2344	2983	AIQ	Gandhi Medical College	Bhopal 	M.D. (PAEDIATRICS)	GN	EWNO	Allotted
2345	2984	AIQ	Karnataka Institute of Medical Sciences	Hubli 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2346	2986	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.D. (ANAESTHESIOLOGY)	GN	OBC	Allotted
2347	2989	AIQ	TIRUNELVELI Medical College	TIRUNELVELI 	M.S. (ORTHOPAEDICS)	GN	OBC	Allotted
2348	2990	AIQ	Patna Medical College	Patna 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2349	2996	AIQ	Government Medical College	Baroda 	M.S. (ORTHOPAEDICS)	GN	OBC	Allotted
2350	2997	MNG	Kasturba Medical College	Manipal Univ. Manipal	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
2351	2999	AIQ	Shrirama Chandra Bhanja Medical College	Cuttack 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2352	3000	AIQ	B.J. Medical College	Ahmedabad 	M.S. (OPHTHALMOLOGY)	GN	GNNO	Allotted
2353	3001	AIQ	JWAHAR LAL NEHRU MEDICAL COLLEGE	ALIGARH 	M.S. (ORTHOPAEDICS)	OBC	OBC	Allotted
2354	3002	AIQ	Grant Medical College	Mumbai 	M.S. (GENERAL SURGERY)	SC	SC	Allotted
2355	3003	AIQ	Topiwala National Medical College	Mumbai 	M.D. (Tuberculosis & Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine)	GN	GNNO	Allotted
2356	3005	AIQ	Bangalore Medical College	Bangalore 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2357	3006	AIQ	MAHARANI LAXMI BAI Medical College	JHANSI 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2358	3007	AIQ	Rajah Muthiah Medical College	Annamalai Universit 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2359	3008	AIQ	Byramjee Jeejeebhoy Government Medical College	Pune 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2360	3009	AIQ	Gandhi Medical College Musheerabad	Secunderabad 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2361	3010	AIQ	Rabindra Nath Tagore Medical College	Udaipur 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2362	3011	AIQ	Mysore Medical College and Research Institute	Mysore 	M.S. (ORTHOPAEDICS)	GN	OBC	Allotted
2363	3012	AIQ	Government Medical College	Thrissur 	M.S. (E.N.T.)	GN	OBC	Allotted
2364	3014	AIQ	Sawai ManSingh Medical College	Jaipur 	M.S. (ORTHOPAEDICS)	GN	OBC	Allotted
2365	3015	AIQ	Byramjee Jeejeebhoy Government Medical College	Pune 	M.D. (Tuberculosis & Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine)	GN	GNNO	Allotted
2366	3016	AIQ	Pt. Jawahar Lal Nehru Memorial Medical College	Raipur 	M.D. (GENERAL MEDICINE)	GN	OBC	Allotted
2367	3018	DU	UNIV. COLL. OF MED. SCIENCE	N.DELHI 	M.D. (GENERAL MEDICINE)	SC	SC	Allotted
2368	3019	AIQ	Mahatma Gandhi Institute of Medical Sciences	Wardha 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2369	3021	AIQ	Government Medical College	Thrissur 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2370	3023	AIQ	Pt. Jawahar Lal Nehru Memorial Medical College	Raipur 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2371	3024	AIQ	Gandhi Medical College Musheerabad	Secunderabad 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2372	3025	AIQ	Government Medical College	Kannur 	M.D. (Emergency and Critical Care)/M.D. (Emergency Medicine)	GN	GNNO	Allotted
2373	3027	AIQ	King Georges Medical University	LUCKNOW 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2374	3028	AIQ	R.G. KAR MEDICAL COLLEGE	KOLKATA 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2375	3029	AIQ	Sardar Patel Medical College	Bikaner 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2376	3031	AIQ	Osmania Medical College	Koti 	M.D. (GENERAL MEDICINE)	SC	SC	Allotted
2377	3035	AIQ	King Georges Medical University	LUCKNOW 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2378	3036	AIQ	Government Medical College	Bhavnagar 	M.D. (PAEDIATRICS)	GN	EWNO	Allotted
2379	3037	AIQ	Government Medical College	Baroda 	M.S. (ORTHOPAEDICS)	GN	EWNO	Allotted
2380	3039	AIQ	CHENGALPATTU Medical College	CHENGALPATTU 	M.S. (ORTHOPAEDICS)	GN	OBC	Allotted
2381	3040	IP	Atal Bihari Vajpayee Institute of Medical Sciences and RML Hospital	IP 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
2382	3042	AIQ	Shri Vasantrao Naik Government Medical College	Yavatmal 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2383	3043	AIQ	Sardar Patel Medical College	Bikaner 	M.D. (PAEDIATRICS)	GN	OBC	Allotted
2384	3045	AIQ	Government Mohan Kumaramangalam Medical College	SELAM 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2385	3047	AIQ	KILPAUK MEDICAL COLLEGE	CHENNAI 	M.S. (ORTHOPAEDICS)	GN	OBC	Allotted
2386	3048	AIQ	Gandhi Medical College Musheerabad	Secunderabad 	M.D. (Tuberculosis & Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine)	GN	OBC	Allotted
2387	3049	AIQ	Gandhi Medical College	Bhopal 	M.D. (PAEDIATRICS)	GN	EWNO	Allotted
2388	3050	AIQ	Government Medical College	Ananthapur 	M.D. (PAEDIATRICS)	GN	OBC	Allotted
2389	3051	AIQ	Karnataka Institute of Medical Sciences	Hubli 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2390	3052	AIQ	Rangaraya Medical College	Kakinada 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2391	3056	AIQ	Jhalawar Medical College	Jhalawar 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2392	3060	AIQ	Government Medical College	Bhavnagar 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2393	3062	AIQ	Rajah Muthiah Medical College	Annamalai Universit 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2394	3064	AIQ	Government Medical College	Nagpur 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2395	3067	AIQ	Sanjay Gandhi Institute of Trauma and Orthopedics	Bangalore 	M.S. (ORTHOPAEDICS)	GN	OBC	Allotted
2396	3068	AIQ	R.G. KAR MEDICAL COLLEGE	KOLKATA 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2397	3069	AIQ	Seth Gordhandas Sunderdas Medical College	Mumbai 	M.D. (PSYCHIATRY)	GN	OBC	Allotted
2398	3070	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.S. (OPHTHALMOLOGY)	GN	GNNO	Allotted
2399	3071	AIQ	Osmania Medical College	Koti 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2400	3072	AIQ	Dr. Vaishampayan Memorial Government Medical College	Solapur 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2401	3073	AIQ	KILPAUK MEDICAL COLLEGE	CHENNAI 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2402	3075	AIQ	Tata Memorial Centre	Mumbai 	M.D. (Radiotherapy/Radio Oncology)	GN	GNNO	Allotted
2403	3076	AIQ	Nalanda Medical College	Patna 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2404	3077	DU	LADY HARDINGE MEDICAL COLL.	N.DELHI 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2405	3079	AIQ	Government Medical College	Baroda 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2406	3081	DU	MAULANA AZAD MEDICAL COLL.	N.DELHI 	M.D. (PAEDIATRICS)	OBC	OBC	Allotted
2407	3083	AMU	JWAHAR LAL NEHRU M.C. AMU	ALIGARH 	M.D. (RADIO- DIAGNOSIS)	GN	GNNO	Allotted
2408	3084	AIQ	Moti Lal Nehru Medical College	Allahabad 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2409	3085	AIQ	Bangalore Medical College	Bangalore 	M.S. (OPHTHALMOLOGY)	GN	GNNO	Allotted
2410	3087	AIQ	KILPAUK MEDICAL COLLEGE	CHENNAI 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2411	3088	AIQ	Moti Lal Nehru Medical College	Allahabad 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2412	3089	AIQ	MIDNAPORE MEDICAL COLLEGE	MIDNAPUR 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2413	3090	AIQ	Government Medical College	Baroda 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2414	3091	DU	LADY HARDINGE MEDICAL COLL.	N.DELHI 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2415	3093	AIQ	Osmania Medical College	Koti 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2416	3094	AIQ	Sawai ManSingh Medical College	Jaipur 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2417	3095	AIQ	Sawai ManSingh Medical College	Jaipur 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2418	3097	AIQ	Pt. Jawahar Lal Nehru Memorial Medical College	Raipur 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2419	3100	AIQ	MIDNAPORE MEDICAL COLLEGE	MIDNAPUR 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2420	3104	AIQ	Government Medical College	Ananthapur 	M.D. (PAEDIATRICS)	GN	OBC	Allotted
2421	3107	AIQ	Government Medical College	Nagpur 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2422	3110	AIQ	Shyam Shah Medical College	Rewa 	M.D. (GENERAL MEDICINE)	GN	EWNO	Allotted
2423	3111	AIQ	TIRUNELVELI Medical College	TIRUNELVELI 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2424	3112	AIQ	GOA MEDICAL COLLEGE	PANAJI 	M.D. (Tuberculosis & Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine)	GN	OBC	Allotted
2425	3114	AIQ	Maharaja Krishna Chandra Gajapati Medical College	Brahmapur 	M.D. (PAEDIATRICS)	GN	OBC	Allotted
2426	3115	AIQ	Government Medical College	Nizamabad 	M.D. (PAEDIATRICS)	GN	OBC	Allotted
2427	3116	AIQ	LADY HARDINGE MEDICAL COLL.	N.DELHI 	M.D. (DERM.,VENE. & LEPROSY)/ (DERMATOLOGY)/(SKIN & VENEREAL DISEASES)/(VENEREOL OGY)	SC	SC	Allotted
2428	3117	AIQ	Institute of Post Graduate Medical Education Research	KOLKATA 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2429	3118	AIQ	Shyam Shah Medical College	Rewa 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2430	3119	AIQ	MIDNAPORE MEDICAL COLLEGE	MIDNAPUR 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2431	3120	AIQ	Bangalore Medical College	Bangalore 	M.S. (GENERAL SURGERY)	GN	OBC	Allotted
2432	3122	AIQ	Osmania Medical College	Koti 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	EWNO	Allotted
2433	3124	AIQ	Government Medical College	Nagpur 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2434	3125	AIQ	Kakatiya Medical College	Warangal 	M.S. (ORTHOPAEDICS)	GN	OBC	Allotted
2435	3126	AIQ	Guru Govind Singh Medical College	Faridkot 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2436	3129	AIQ	PGIMER Dr. RML Hospital	New Delhi 	M.D. (PAEDIATRICS)	SC	SC	Allotted
2437	3130	AIQ	Government Medical College	Nagpur 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2438	3133	AIQ	TIRUNELVELI Medical College	TIRUNELVELI 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2439	3134	AIQ	Karnataka Institute of Medical Sciences	Hubli 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2440	3136	AIQ	Pt. B.D. Sharma PGIMS	Rohtak 	M.D. (Tuberculosis & Respiratory diseases)/Pulmonary Medicine /M.D. (Respiratory Medicine)	GN	EWNO	Allotted
2441	3139	AIQ	Shrirama Chandra Bhanja Medical College	Cuttack 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2442	3141	AIQ	MADURAI MEDICAL COLLEGE	MADURAI 	M.D. (GENERAL MEDICINE)	SC	SC	Allotted
2443	3142	AIQ	Thiruvarur Govt.Medical College	Thiruvarur 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2444	3143	AIQ	Government Medical College	Kottayam 	M.S. (E.N.T.)	GN	GNNO	Allotted
2445	3144	AIQ	Shri MP Shah Medical College	Jamnagar 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2446	3145	AIQ	Moti Lal Nehru Medical College	Allahabad 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2447	3146	AIQ	Government Medical College	Thiruvananthapuram 	M.S. (E.N.T.)	GN	OBC	Allotted
2448	3148	AIQ	King Georges Medical University	LUCKNOW 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2449	3150	AIQ	Pt. Jawahar Lal Nehru Memorial Medical College	Raipur 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2450	3151	AIQ	JWAHAR LAL NEHRU MEDICAL COLLEGE	ALIGARH 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2451	3153	AIQ	Pt. Jawahar Lal Nehru Memorial Medical College	Raipur 	M.D. (GENERAL MEDICINE)	GN	GNNO	Allotted
2452	3154	AIQ	Government Medical College	Thiruvananthapuram 	M.D. (PSYCHIATRY)	GN	GNNO	Allotted
2453	3156	AIQ	Lokmanya Tilak Municipal Medical College	Mumbai 	DIP. IN DERM. VENEREOLOGY & LEPROSY/DERMATOLO GY /VENEREOLOGY & DERMATOLOGY/LEPRO SY/VENEREAL DISEASE & LEPROSY	GN	GNNO	Allotted
2454	3157	AIQ	Karnataka Institute of Medical Sciences	Hubli 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2455	3158	AIQ	Dr. B.C. Roy Post Graduate Institute Of Pediatric Sciences	Kolkata 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2456	3159	AIQ	Government Medical College	Aurangabad 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2457	3160	AIQ	Gandhi Medical College Musheerabad	Secunderabad 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2458	3161	AIQ	Sawai ManSingh Medical College	Jaipur 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2459	3163	AIQ	COIMBATORE Medical College	COIMBATORE 	M.S. (ORTHOPAEDICS)	GN	GNNO	Allotted
2460	3166	AIQ	Pt. Jawahar Lal Nehru Memorial Medical College	Raipur 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2461	3167	AIQ	COIMBATORE Medical College	COIMBATORE 	M.S. (ORTHOPAEDICS)	GN	OBC	Allotted
2462	3169	AIQ	Andhra Medical College	Visakhapatnam 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2463	3170	AIQ	Institute of Post Graduate Medical Education Research	KOLKATA 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2464	3171	AIQ	MADRAS MEDICAL COLLEGE	CHENNAI 	M.S. (OPHTHALMOLOGY)	GN	GNNO	Allotted
2465	3172	AIQ	Pt. Jawahar Lal Nehru Memorial Medical College	Raipur 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2466	3173	AIQ	ESI PGIMSR	Delhi 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	OBC	OBC	Allotted
2467	3177	AIQ	Osmania Medical College	Koti 	M.S. (GENERAL SURGERY)	GN	GNNO	Allotted
2468	3183	AIQ	Government Medical College	Miraj 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2469	3184	AIQ	Guwahati Medical College	Guwahati 	M.D. (PAEDIATRICS)	GN	EWNO	Allotted
2470	3185	AIQ	Gandhi Medical College Musheerabad	Secunderabad 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	OBC	Allotted
2471	3187	AIQ	Super Speciality Paediatric Hospital and Post Graduate	Noida 	M.D. (PAEDIATRICS)	GN	OBC	Allotted
2472	3188	AIQ	Tata Memorial Centre	Mumbai 	M.D. (Radiotherapy/Radio Oncology)	GN	GNNO	Allotted
2473	3189	AIQ	Dr. Vaishampayan Memorial Government Medical College	Solapur 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2474	3192	AIQ	Dr. B.C. Roy Post Graduate Institute Of Pediatric Sciences	Kolkata 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2475	3194	AIQ	Sardar Patel Medical College	Bikaner 	M.D. (PAEDIATRICS)	GN	GNNO	Allotted
2476	3195	AIQ	Gandhi Medical College Musheerabad	Secunderabad 	M.D. (Obst. & Gynae)/MS (Obstetrics and Gynaecology)	GN	GNNO	Allotted
2477	3196	AIQ	Jhalawar Medical College	Jhalawar 	M.D. (GENERAL MEDICINE)	GN	EWNO	Allotted
2478	3197	AIQ	PIMPRI CHINCHWAD MUNCIPAL CORPORATIONS YASHWANTRAO CHAVAN MEMORIAL HOSPITAL	Pune 	M.D. (PAEDIATRICS)	GN	EWNO	Allotted
